gene	p-value	logFC	ci.hi	ci.lo	fdr
MT-ATP6	1.31872498527294e-26	-2.73919741309155	-2.31145627502057	-3.16693855116253	3.33505548775528e-23
IFITM1	3.34284993520723e-22	3.53083529333626	4.23606479584515	2.82560579082737	4.22703374306954e-19
MT-ND2	3.73429288779876e-21	-1.88966033858798	-1.54281162566404	-2.23650905151191	3.14800890441435e-18
MT-ND4	7.58877084749349e-21	-2.34728562906203	-1.94451050712944	-2.75006075099462	4.79800036832776e-18
HLA-A	3.16085998206613e-19	1.92429454804772	2.28189296827367	1.56669612782178	1.59876297892905e-16
RPS10	5.18865264537885e-17	-2.07358219052252	-1.69669906528829	-2.45046531575674	2.18701709002718e-14
HLA-B	1.01527689158264e-16	1.55286490543696	1.873114198385	1.23261561248891	3.66805036973213e-14
MT-ND1	7.82566997559012e-16	-1.70072982049902	-1.33174844864251	-2.06971119235553	2.47388992103343e-13
MT-CO3	4.295668393318e-14	-1.96779633502333	-1.51517279253119	-2.42041987751548	1.20708281852236e-11
MT-CYB	1.52293888626639e-13	-1.86286211107493	-1.42608350900383	-2.29964071314603	3.8515124433677e-11
RPL13A	2.32087236610287e-13	-1.32280059847463	-0.991125588513709	-1.65447560843556	5.33589655806742e-11
HLA-C	1.08254244285429e-12	1.50408956232624	1.86913053924484	1.13904858540763	2.28145819831541e-10
TAOK1	1.38381168825775e-12	1.86567697257765	2.0969555083371	1.63439843681819	2.69204596892603e-10
RPS2	2.48964240146582e-12	-1.33475572419395	-0.98538070328866	-1.68413074509925	4.4973611666479e-10
HLA-E	1.33490370935222e-11	1.86645989048383	2.71286295735687	1.0200568236108	2.25064765396784e-09
RPL13	1.84870083456608e-11	-1.15148885589605	-0.85589919867794	-1.44707851311416	2.92210275663601e-09
RPL27A	2.27616024760442e-11	-1.27845027729728	-0.928941592558468	-1.62795896203609	3.02968908746925e-09
RPS26	2.22371093681488e-11	-1.33647260521768	-0.987443929967315	-1.68550128046805	3.02968908746925e-09
RPS6	2.18860867476624e-11	-1.12643459189206	-0.831749923937099	-1.42111925984703	3.02968908746925e-09
RPS18	5.21618919840444e-11	-1.29731190997055	-0.956165760810102	-1.638458059131	6.59587124138241e-09
RPL26	7.20703374931538e-11	-1.17000820371916	-0.845317962089025	-1.49469844534929	8.67932778667552e-09
SET	1.79757373662844e-10	-1.11592210599296	-0.747089838249709	-1.48475437373621	2.06639271815151e-08
RPL21	3.72356695635715e-10	-1.2070584504273	-0.867726233825719	-1.54639066702888	4.09430470983793e-08
HNRNPH1	4.70201285127806e-10	-1.17220763771975	-0.687329591731218	-1.65708568370828	4.95474604203426e-08
MT-ND3	9.17023787087761e-10	-1.5155729066691	-1.07512696232976	-1.95601885100844	9.27661263017979e-08
JUND	4.02108814455557e-09	-1.42390273248507	-0.962672155022611	-1.88513330994753	3.91128150676194e-07
MT-CO2	4.99708383334491e-09	-1.33543049777421	-0.936681013214587	-1.73417998233383	4.68060185723307e-07
RPS5	5.8252125444992e-09	-1.121632524705	-0.784459242979368	-1.45880580643063	5.26141518751374e-07
RPS17	1.00714347022805e-08	-1.23136197772813	-0.820665008109224	-1.64205894734704	8.78298564209223e-07
RPL3	1.63583517371592e-08	-0.970404780195141	-0.659776132367366	-1.28103342802292	1.37900905144252e-06
RPL17	1.76852311504114e-08	-1.04298055417919	-0.725482731752274	-1.3604783766061	1.44277256707711e-06
RPS11	2.99048979921441e-08	-1.16784071531186	-0.803802720118571	-1.53187871050514	2.36342146944164e-06
RPS29	3.2000160532849e-08	-0.934986327417862	-0.641973990278765	-1.22799866455696	2.45237593901743e-06
IFITM3	3.60400582698771e-08	2.12108844515293	2.79912800400049	1.44304888630536	2.68074433425056e-06
RPL35	6.84746864290183e-08	-1.01868666216042	-0.683955951134554	-1.35341737318628	4.94778519939964e-06
RPS16	8.01624349774629e-08	-0.979063892389617	-0.657003607388732	-1.3011241773905	5.63141105716677e-06
CD81	2.36404443557994e-07	-0.95639794429168	-0.611217364664717	-1.30157852391864	1.61585631826532e-05
RPLP1	2.99551198100272e-07	-0.877200435659406	-0.580684947945132	-1.17371592337368	1.99359205261997e-05
TPT1	3.75885946865217e-07	-1.06456981159053	-0.698195083464042	-1.43094453971702	2.43747579390291e-05
MT-ATP8	7.21806130846061e-07	1.58952637111159	2.5650815976145	0.613971144608682	4.56361926227422e-05
IFIT3	7.49050635604336e-07				4.61179077594186e-05
RPS20	7.65896451520594e-07	-0.824019799056542	-0.523277403543381	-1.1247621945697	4.61179077594186e-05
LY6E	1.07438435870835e-06	1.21952577605783	1.66990186390115	0.769149688214509	6.31887917017075e-05
MTRNR2L12	1.87306358268944e-06				0.000107658586377763
RPL27	1.98804750212509e-06	-0.966118188084152	-0.610976157484452	-1.32126021868385	0.00011172826961943
RPL7	2.95732806484633e-06	-0.981098204614781	-0.598847177815133	-1.36334923141443	0.000162588753826008
UBA52	3.07394851393997e-06	-0.775260739943127	-0.474493103293648	-1.07602837659261	0.000165404591313919
NEAT1	3.16244946947655e-06	-1.14863485276096	-0.696911821450242	-1.60035788407167	0.000166621556423046
RPL10A	3.56065847559068e-06	-0.802398306081178	-0.466288065113521	-1.13850854704883	0.00018377357724018
RBM3	4.20063405005929e-06	-0.951736885478661	-0.612654637054223	-1.2908191339031	0.000212468070251999
MT-ND4L	4.67807653362946e-06	1.40632111934093	2.11029648184686	0.702345756835007	0.000231977559873508
RPL32	5.25668619172602e-06	-0.802168835636651	-0.494924911210693	-1.10941276006261	0.000255656911132213
ALDOA	6.29103029115173e-06				0.000300188973704202
CTSD	6.57685054665324e-06	-0.954441344216504	-0.563540527961615	-1.34534216047139	0.000308015833934927
PTPRCAP	9.98063155273352e-06				0.000458927585397511
RSAD2	2.09753446233709e-05	1.46509448243686	1.89823723204503	1.03195173282869	0.000947261545580446
GNAS	2.30065854951413e-05	-0.714054259249573	-0.42393961117949	-1.00416890731966	0.00102076587223179
HSP90AA1	2.35823987189424e-05	-0.785089716158514	-0.427849115045182	-1.14233031727185	0.00102827390276216
GABARAP	2.41151262693963e-05	0.907452987272263	1.23676629713871	0.578139677405812	0.00103368058195429
ATP5MD	2.9870161045629e-05	-0.784798865530967	-0.371031707784346	-1.19856602327759	0.00125902728807326
RPL15	3.11762445791647e-05	-0.697978108721347	-0.406637231194733	-0.989318986247961	0.00129253643509356
MDM4	4.67795704682022e-05	-0.72672872759198	-0.384371491073081	-1.06908596411088	0.00190815376958199
CCND2	4.90052255560924e-05	-0.840191260144036	-0.299252681459219	-1.38112983882885	0.00196720976875171
FTL	5.63544213823306e-05	-0.957844176556526	-0.547681126866027	-1.36800722624703	0.00222688018243616
EIF1	5.88339865531537e-05	-0.744147259443695	-0.375769678361027	-1.11252484052636	0.00228909464604501
ISG20	6.27460235881325e-05	1.55727545816362	2.23453381505376	0.880017101273488	0.00240431354021799
CD63	7.95743422117539e-05	-0.884148258689997	-0.512693724147107	-1.25560279323289	0.00300363449930635
ENO1	8.52942120565051e-05	-0.872147542703145	-0.360594449574829	-1.38370063583146	0.00317219209251325
RPL30	9.00056719777206e-05	0.607764489408416	0.872540130133774	0.342988848683059	0.00329890354248776
CDC42	9.3550970210682e-05	-0.654028046743486	-0.357914817949377	-0.950141275537594	0.00333225920651852
TNFRSF4	9.33406586467121e-05	-1.05034070896499	-0.459005455732587	-1.6416759621974	0.00333225920651852
IFIT1	0.000107605898096691	1.31959037256997	1.96771068298615	0.671470062153791	0.00377965717064626
AC116366.3	0.000126846478312622				0.00439444854318661
KLRB1	0.000164373720451775	-1.19099989212063	-0.553583560471555	-1.8284162237697	0.00561065786424015
RPL23	0.000166389616377229	-0.799863096404338	-0.420371429864496	-1.17935476294418	0.00561065786424015
RTP4	0.000173969529584548				0.00578906500420161
TMBIM4	0.000181268913125566	-0.574571251839535	-0.165533358553389	-0.983609145125682	0.00595362443239682
RPLP2	0.000241059648239813	-0.709547752248073	-0.380300043965704	-1.03879546053044	0.00781589551792933
IDH2	0.000244827441299906				0.00783757720313243
CD74	0.000265460367690972	1.29637686177982	2.01061198392195	0.582141739637684	0.00839186587363085
DDX21	0.000270689030106454	-0.703886443682462	-0.182291043743854	-1.22548184362107	0.0084515130511015
