gene	p-value	logFC	ci.hi	ci.lo	fdr
IFITM1	1.66252152594611e-27	3.44689799370072	3.93219095505912	2.96160503234233	2.71157260881811e-24
RPL13A	3.0338592327045e-19	-1.66688421724367	-1.34613188508146	-1.98763654940588	2.47411220427052e-16
RPS18	1.56147406380152e-18	-1.65522362678835	-1.31426076996473	-1.99618648361197	8.48921399353428e-16
RPL27A	1.36126630021355e-17	-1.48909780283652	-1.21985805103504	-1.75833755463801	5.01777442580456e-15
TAOK1	1.53825089693579e-17	2.22761993482758	2.4805464071366	1.97469346251857	5.01777442580456e-15
MT-ATP6	2.6239635307595e-17	-2.13624609126981	-1.68257137769579	-2.58992080484384	7.13280753111458e-15
RPS5	6.73264041075307e-16	-1.32747798444695	-1.03501938983914	-1.61993657905475	1.56870521570547e-13
HLA-B	8.97463251313218e-16	1.61394947951155	1.98226092458921	1.24563803443389	1.82970320361482e-13
RPL13	1.17673452344997e-14	-1.36992624414863	-1.04580268625003	-1.69404980204724	2.13250445305211e-12
RPL21	1.90748392770446e-14	-1.37752319377551	-1.05474045124555	-1.70030593630548	3.11110628608597e-12
TMSB10	2.34149644700212e-13	1.28103436712123	1.60021943077499	0.961849303467476	3.47180064096405e-11
RPL35	4.56489428022449e-12	-1.18415996875945	-0.878991815749379	-1.48932812176951	6.20445214253846e-10
RPS6	6.5499181049091e-12	-1.17653323144266	-0.86814219871095	-1.48492426417437	8.21762802238979e-10
ISG20	8.00199663570165e-12	2.0407851059404	2.57700159040497	1.50456862147584	9.32232608059242e-10
MT-ND4	8.91712611224891e-12	-1.51662007228609	-1.13372246616664	-1.89951767840554	9.69588845938531e-10
MT-CO3	2.32622365359043e-11	-1.57897213702696	-1.14735482476939	-2.01058944928454	2.37129423687874e-09
MT-ND4L	3.19114747706953e-11	1.88066497106442	2.4952960904058	1.26603385172305	2.8915341861669e-09
RPL3	3.17030014259856e-11	-1.23230313826906	-0.90545000700202	-1.5591562695361	2.8915341861669e-09
GZMB	6.98283738741546e-11	2.86609451180901	3.54420119822373	2.1879878253943	5.99421462046033e-09
JUND	2.26083793636897e-10	-1.22334151485111	-0.814076842614663	-1.63260618708756	1.75591746391323e-08
NKG7	2.20211471444854e-10	2.18644669816073	2.94314742559892	1.42974597072254	1.75591746391323e-08
TRDC	3.87701424043694e-10	-1.41017037932425	-1.0659540444865	-1.754386714162	2.87427737552393e-08
MT-ND1	5.24749760930465e-10	-1.32018506794204	-0.936826266653898	-1.70354386923019	3.72116026120691e-08
HNRNPH1	9.53165921374318e-10	-0.832340814231986	-0.361269215827153	-1.30341241263682	6.47755674067297e-08
IFIT3	1.40107260269291e-09				9.14059765996855e-08
RPL10A	1.68439401666671e-09	-1.02832673462869	-0.724183670091456	-1.33246979916592	1.05663332353208e-07
RPS2	1.93855213466257e-09	-1.07643406529152	-0.756085355476587	-1.39678277510646	1.17102908579061e-07
KLRB1	2.14920592800082e-09	-1.59676498609733	-1.0410308382693	-2.15249913392536	1.25191245306048e-07
RPL26	3.07054127704572e-09	-1.12958309839874	-0.79195284834015	-1.46721334845734	1.72691476650399e-07
HLA-A	3.22187462875484e-09	1.19382494247207	1.55878650746675	0.828863377477382	1.75162583983305e-07
MT-ATP8	6.95586017384431e-09	1.97844437877764	2.53689156059593	1.41999719695935	3.65967998178712e-07
SET	9.9463466762564e-09	-1.03826475004589	-0.67857492606053	-1.39795457403125	5.06952857155443e-07
MALAT1	1.34039380353787e-08	-1.32473328978926	-0.903908832746724	-1.74555774683179	6.62479482900083e-07
CCL4	1.74620227233594e-08	2.94997547263585	3.62644539245086	2.27350555282084	8.37663501817622e-07
TPT1	3.10320956818531e-08	-1.05200472278169	-0.708973768700098	-1.39503567686329	1.44609565877436e-06
CCL5	3.85282839035361e-08	2.42627220050363	3.12096677708089	1.73157762392637	1.74554530685187e-06
MT2A	4.6088054616189e-08	1.8985672933564	2.33031301603247	1.46682157068033	2.03161127240552e-06
LY6E	1.03599418203592e-07	1.20436513893533	1.64578317778661	0.762947100084059	4.44659608131735e-06
CDC42	1.10092553249286e-07	-0.9520436336126	-0.676044321958784	-1.22804294526642	4.58504645481007e-06
MT-ND2	1.12447491227715e-07	-1.14101360925423	-0.76419038864408	-1.51783682986439	4.58504645481007e-06
RPL32	1.26453374417174e-07	-0.955943644975193	-0.630580451984427	-1.28130683796596	5.03037691888809e-06
PRF1	1.31831018262118e-07	1.70423468285741	2.23141164962578	1.17705771608905	5.11943787584558e-06
MTRNR2L12	1.37017462117851e-07				5.19710420265615e-06
IFITM3	1.48570173880606e-07	1.83220188411368	2.37553095814678	1.28887281008059	5.50722621816519e-06
RPS11	2.22526758779079e-07	-0.91669390186763	-0.574468552169761	-1.2589192515655	8.06535874597063e-06
RPS16	4.14433889149773e-07	-0.947855824650302	-0.616363083057608	-1.279348566243	1.46943842000713e-05
RPL27	6.39085502005411e-07	-0.876286030969132	-0.564428439815067	-1.1881436221232	2.2177626675975e-05
PTPRCAP	8.06771429188438e-07				2.74134208542988e-05
RPS29	8.98761452659204e-07	-0.901802632266174	-0.572925365384554	-1.23067989914779	2.99159169242278e-05
CD63	1.04898578872079e-06	-1.03715958652263	-0.67949566150823	-1.39482351153703	3.42179164280723e-05
IFI6	1.17773694042252e-06	1.54985798367395	2.12809731532912	0.97161865201878	3.7664489212336e-05
RPL23A	1.47670213997186e-06	-0.936045595362694	-0.58517985739548	-1.28691133332991	4.63173305825789e-05
HLA-C	1.59059964811943e-06	0.970375605194859	1.3331141733354	0.607637037054321	4.89484533223169e-05
ISG15	1.77878550678042e-06	1.44326419067073	2.02546967086853	0.861058710472931	5.37259103992382e-05
RPLP2	1.90433409206696e-06	-0.803130164227262	-0.503651787483523	-1.102608540971	5.64721618938402e-05
CCL2	2.56987798134698e-06				7.48476962067309e-05
RPLP1	3.24616579557004e-06	-0.781717368096093	-0.483031127449392	-1.08040360874279	9.28859019749954e-05
HLA-E	4.45338942561398e-06	1.13269013169463	1.60625432290416	0.659125940485087	0.000125232381951317
MT-ND3	4.62927564102694e-06	-1.06271319930289	-0.633214114647946	-1.49221228395784	0.000127972009669745
GZMH	5.85809730702622e-06				0.000159242611795996
RPS17	7.08386940285151e-06	-0.810704945459057	-0.42200259137447	-1.19940729954364	0.000189406409771325
GABARAP	8.69574705076557e-06	1.02808845163052	1.29904376925931	0.757133134001736	0.00022875424902901
TRIM22	9.10633746973882e-06	1.07597861271269	1.36167651231282	0.790280713112558	0.000235752958938794
XCL2	9.27483300475362e-06	-1.09750550710936	-0.587439647642752	-1.60757136657596	0.000236363322355518
SRGN	1.14195930700204e-05	1.04671941492163	1.49959666406515	0.593842165778102	0.000286543943033898
RPL15	1.36357045339805e-05	-0.727050391899693	-0.423270109481627	-1.03083067431776	0.000336967183256396
RPL23	1.43368559544578e-05	-0.859291848869644	-0.511683591378242	-1.20690010636105	0.000349006150174934
ATP6V0C	1.49643427282755e-05				0.000358924161614961
TNFRSF18	1.92348528907759e-05	-1.03075202684688	-0.524226118686609	-1.53727793500715	0.000454667319780515
ACAP1	1.99107348377569e-05	-0.847671626504209	-0.495204412234065	-1.20013884077435	0.000463920121719736
IRF7	2.8626408146641e-05	1.14375646780878	1.58149680241793	0.706016133199623	0.000657601009678472
IFIT1	3.01635274078947e-05	0.976828023439231	1.27720021677499	0.676455830103474	0.000683287683364949
IKZF1	3.26830436886514e-05	-0.777631728004705	-0.456312124607364	-1.09895133140205	0.000730219784331376
RPL17	3.4065945619142e-05	-0.791642254461618	-0.462848391063226	-1.12043611786001	0.00075083185547055
SAT1	3.49936617022702e-05	1.41453458634643	1.8894043249502	0.939664847742655	0.000760995496485369
GBP1	3.68146870833476e-05				0.000790062560959736
RPL37A	3.8068140972012e-05	-0.718778355895795	-0.399115913761867	-1.03844079802972	0.000806352440588982
MT-CYB	4.82801234849097e-05	-1.09306611168203	-0.616992445086238	-1.56913977827782	0.00100291663988477
RPL9	4.85778139490476e-05	-0.703099122468443	-0.3873503672833	-1.01884787765359	0.00100291663988477
UBE2L6	5.22936975670643e-05	1.08225532340571	1.42110931498677	0.743401331824652	0.00106613775914852
AC116366.3	5.76010591529614e-05				0.0011485841884876
RNF213	5.77461088019514e-05	1.1167913634808	1.55793128683488	0.675651440126718	0.0011485841884876
UBA52	5.97738195877634e-05	-0.651452515937991	-0.367150642111259	-0.935754389764724	0.0011745915632246
HLA-DRA	6.27296524547739e-05	-0.795583594413138	-0.422941503906536	-1.16822568491974	0.00121800075183019
ALDOA	6.57937923351502e-05				0.00126246676821918
RPS3A	7.88483754544638e-05	-0.741382222961401	-0.41034998375313	-1.07241446216967	0.00149536860890966
SMDT1	8.18316164576535e-05	-0.66953312439277	-0.400707819468923	-0.938358429316618	0.00153410766025785
LUC7L3	8.27804694283438e-05	-0.705305465621526	-0.395771731805792	-1.01483919943726	0.00153426074588215
CCL3	8.67754256495007e-05	1.27843554901019	1.7715475573049	0.785323540715486	0.00156133317977914
CST7	8.69430469083544e-05	1.17279851872052	1.63231818894722	0.713278848493824	0.00156133317977914
CTSD	8.71130100305957e-05	-0.828856301163422	-0.462157351152977	-1.19555525117387	0.00156133317977914
RPL10	8.88351767545793e-05	-0.686567482312868	-0.379971122462324	-0.993163842163412	0.00157489318789912
RPS20	0.000105009133589676	-0.74375622838592	-0.45451285206151	-1.03299960471033	0.0018416117944598
IFIT2	0.000120432995712837	1.01532711701832	1.28511587747929	0.745538356557352	0.00208964059582593
CCL4L2	0.000123679968776215	1.64789897247024	2.13770034191001	1.15809760303047	0.00212338977972639
SUN2	0.000154686306247119	-0.280327076548101	0.000970503224703101	-0.561624656320906	0.00262805589051095
ALOX5AP	0.000160606687880177	1.17777979718099	1.60569839325232	0.749861201109668	0.00270051039105741
RSAD2	0.000165114102342977	1.00829469965051	1.27578120187576	0.740808197425253	0.00274797041756526
GNLY	0.000166913191539606	2.01677945860161	3.19448109568434	0.839077821518875	0.00274985268081916
KLRC3	0.00018794571657126				0.00306539463727725
ATM	0.000191839549343826	-0.488596045348028	-0.187757419218056	-0.789434671478	0.00309792381168099
PLSCR1	0.00019788298629141	0.987846542555249	1.47258987861393	0.503103206496572	0.0031641877513852
IFI27	0.000210836143696572	0.943458019977507	1.17335696030359	0.713559079651426	0.00333858010067097
CKLF	0.000265037335475373	-0.739328010845525	-0.386784681806789	-1.09187133988426	0.0041564989823109
