gene	p-value	logFC	ci.hi	ci.lo	fdr
RPS26	2.59143282202282e-85	1.65984011126267	1.8287764190719	1.49090380345344	4.7345477658357e-82
MALAT1	2.03351672056587e-61	-1.41789983148648	-1.24694366259602	-1.58885600037694	1.85761752423692e-58
GZMB	1.03914412356696e-51	2.49568726436	2.76725819917233	2.22411632954767	6.3283877125228e-49
CCL2	3.02603709688878e-33	0.772968064726272	0.864053528437651	0.681882601014894	1.38214244400395e-30
CCL4	1.18077708653632e-31	2.39038278078255	2.72420509849421	2.05656046307089	4.31455947420371e-29
NEAT1	2.25506049241952e-29	1.18389579110516	1.36084486525427	1.00694671695605	6.86665919941744e-27
EEF1A1	8.77867380582294e-29	-0.800494358982451	-0.668646741910822	-0.932341976054079	2.29123386331979e-26
MT-CYB	3.42029499749611e-27	1.00830834113439	1.20557838529404	0.811038296974734	7.73374726173562e-25
MT-ND2	3.8097277151407e-27	0.971806032770759	1.15966082397924	0.783951241562279	7.73374726173562e-25
GAPDH	4.7149237454287e-25	0.978190449919503	1.16643943841258	0.789941461426424	8.61416568289823e-23
TXNIP	9.73706284458325e-24	-1.09607101601473	-0.905058389258883	-1.28708364277058	1.61723761973214e-21
MT-ND4	3.46031835374908e-23	0.998389258246513	1.19494324409192	0.801835272401109	5.26833469358297e-21
MT-ATP6	4.80734342916065e-22	0.951427133987955	1.16478513222844	0.738069135747474	6.7561664962127e-20
CCL3	6.71069223584637e-22	1.14508935902893	1.35117303780685	0.939005680251007	8.75745336777951e-20
MT-CO2	7.39125834781952e-21	0.830318605054073	0.996127715633462	0.664509494474684	9.00255266764417e-19
MT-ND3	1.03479211295408e-19	0.816319531388902	0.984862123985709	0.647776938792094	1.18160324397944e-17
LAG3	5.12219186319387e-19	0.603135213771611	0.706089635229462	0.500180792313759	5.19902474114178e-17
SRGN	4.95606136469919e-19	0.795700796494891	0.974880592022188	0.616521000967594	5.19902474114178e-17
HIST1H4C	3.75415831359704e-18	-0.715045920932517	-0.561156800131303	-0.868935041733731	3.60991959944305e-16
BTG1	4.0406610425627e-18	-0.826660575909369	-0.616297992867324	-1.03702315895141	3.69114386238102e-16
TRDC	4.63278805958635e-18	-0.886589964745477	-0.66643379351916	-1.10674613597179	4.03052561184013e-16
VIM	8.03545975140449e-18	0.979512158159899	1.20410054686115	0.754923769458651	6.67308407537091e-16
CCL4L2	2.31416138305634e-17	1.40563627077934	1.65944829440005	1.15182424715864	1.83824906384519e-15
LGALS1	5.47239422996013e-17	1.01921653487608	1.23421553545298	0.804217534299171	4.16586010755715e-15
PTMS	1.98431596976197e-16	0.398298410550865	0.47128256641011	0.325314254691619	1.45013811070205e-14
PRF1	2.21766246581301e-16	0.920633738953932	1.14450352306533	0.696763954842529	1.55833435578476e-14
HLA-C	3.11061854211705e-16	-0.579792547645234	-0.440515208257687	-0.719069887032781	2.10485188016587e-14
CCL5	1.01074276054741e-15	1.35406447865441	1.70816594433809	0.999963012970734	6.59509651257183e-14
XCL1	1.72858502324045e-15	-1.0896863301408	-0.821083157496797	-1.35828950278479	1.08900856464148e-13
HLA-E	1.96744191161715e-15	-0.612323514412275	-0.475567312599288	-0.749079716225262	1.19817212417485e-13
SELL	2.69381835131967e-15	-0.756866322295083	-0.547835283733404	-0.965897360856762	1.58761487995517e-13
GZMA	3.65180629643988e-15	1.08788375881921	1.3360766256068	0.839690892031622	2.08495315737364e-13
MT-CO1	6.03674332722953e-15	0.731669831221238	0.910554025671229	0.552785636771247	3.26979515740554e-13
SAMSN1	6.08500467169066e-15	0.497850227300162	0.595754526653375	0.399945927946948	3.26979515740554e-13
AC004687.1	1.87209235655345e-14	-0.590961254517793	-0.439210444790723	-0.742712064244863	9.77232210120902e-13
CYTOR	2.52170102300142e-14	0.462397759138824	0.557310073367331	0.367485444910317	1.27976326917322e-12
S100A8	3.34068247106068e-14	0.460133473083231	0.542517280931132	0.37774966523533	1.6495748309805e-12
SERF2	4.44860620209091e-14	0.468829851698438	0.598297363781017	0.339362339615859	2.1388430345316e-12
IFIT1	9.17979624352403e-14	-0.661891651661782	-0.468086051831211	-0.855697251492354	4.30038147100472e-12
RPL30	1.94420597043749e-13	-0.445325484213814	-0.334184077430095	-0.556466890997533	8.88016076997323e-12
ACP5	2.12342483831014e-13	0.392844375294402	0.475153807772465	0.310534942816339	9.46218824290885e-12
MT-CO3	3.9334831941198e-13	0.656478323934028	0.832605648950108	0.480350998917947	1.71106518944211e-11
FOS	4.45418811669214e-13	0.742322228722487	0.939525255438941	0.545119202006033	1.89251202074338e-11
OAS1	4.93223757661082e-13	-0.470489108694163	-0.285396809927347	-0.655581407460979	2.02551878718949e-11
RPL19	4.98896253002337e-13	-0.445127156152772	-0.331681039569055	-0.558573272736489	2.02551878718949e-11
GIMAP7	6.54984291015231e-13	-0.690088544557981	-0.514540873396363	-0.865636215719598	2.60142673844528e-11
RPS4Y1	1.21372851933807e-12	0.474386069411454	0.640757928711871	0.308014210111037	4.71804681878863e-11
ALOX5AP	1.28070784159498e-12	0.818656884229674	1.02486665550628	0.612447112953065	4.8746942220709e-11
GZMM	1.83415424503846e-12	-0.417070489578806	-0.265816458558498	-0.568324520599114	6.83877511364339e-11
LGALS3	2.48118409308765e-12	0.451460196791915	0.550690771230609	0.352229622353222	9.06624667614228e-11
GIMAP6	2.87177211726298e-12	-0.426006751218769	-0.295814739596014	-0.556198762841524	1.02877012906656e-10
ATP5F1E	4.03644298449984e-12	0.471246910757869	0.604460168222401	0.338033653293338	1.41818871782331e-10
PNN	5.3603823484793e-12	-0.360951173502799	-0.247479100473998	-0.474423246531601	1.84781482088145e-10
BTN3A2	6.15661421800941e-12	-0.448760324875261	-0.313402135132035	-0.584118514618488	2.08298781042652e-10
IFITM1	7.63995645191065e-12	-0.604589013403535	-0.429986330521611	-0.77919169628546	2.53785462502559e-10
LINC00861	8.25889269571793e-12	-0.409466256041288	-0.270881837269545	-0.548050674813032	2.69446374197798e-10
MX1	1.09582092144602e-11	-0.313711394714412	-0.0836944344463972	-0.543728354982427	3.51239442716118e-10
WARS	1.20498670803572e-11	0.414967827661254	0.512818916434016	0.317116738888493	3.79570813031251e-10
SLC7A5	1.78820214958354e-11	0.312839202981333	0.381518706277302	0.244159699685365	5.537364961507e-10
SUB1	1.85868019265563e-11	0.566629520296181	0.739211074278031	0.394047966314332	5.65968118663638e-10
HLA-A	1.8901792377904e-11	-0.480841492078111	-0.339617912022853	-0.622065072133369	5.66124174990666e-10
RPS18	2.42558020130156e-11	-0.499411925623095	-0.364011439163031	-0.634812412083159	7.14763714157735e-10
RPS12	5.17102171390572e-11	-0.415529033339587	-0.299628098531167	-0.531429968148007	1.49959629703266e-09
ZRANB2	5.59042360330069e-11	-0.400868720837772	-0.274416396686152	-0.527321044989391	1.59589123800474e-09
CCL3L1	6.05169962195084e-11	0.464744990840975	0.578363493194879	0.351126488487071	1.70099310912372e-09
CD300A	6.18818184698995e-11	-0.394542550262408	-0.264138600485178	-0.524946500039637	1.71300124764403e-09
IFNG	6.57090822231375e-11	0.409798861329022	0.517057672564806	0.302540050093239	1.79179840629361e-09
JUN	7.05764314749332e-11	0.559205839468981	0.701190785332526	0.417220893605436	1.89622265153975e-09
JAK1	8.68518136107845e-11	-0.53768805402397	-0.39283312064264	-0.682542987405299	2.29968497778121e-09
EIF1	1.08154222822305e-10	0.490419424621335	0.640590166969137	0.340248682273533	2.82282521566216e-09
TMSB10	1.23110347998627e-10	0.427062502030211	0.549368029644528	0.304756974415895	3.16792402526046e-09
DDIT4	2.02466760627638e-10	-0.517912980146175	-0.347427330365606	-0.688398629926745	5.1375940509263e-09
RSRP1	2.1801624292552e-10	-0.461706362365353	-0.317884424844111	-0.605528299886596	5.45637912088939e-09
IGF2R	2.5411201324408e-10	0.247580787804217	0.311281105002378	0.183880470606057	6.27381957022884e-09
LDHA	3.12353449099507e-10	0.514291770111732	0.669951854776212	0.358631685447252	7.608930020064e-09
IFITM2	3.16982185108509e-10	-0.56358148589445	-0.392817176209098	-0.734345795579802	7.62008489727956e-09
RGS10	3.29019081288126e-10	0.320063691809271	0.400862975235041	0.239264408383501	7.80672547420007e-09
ATP5MG	3.52584138561661e-10	0.476179877293749	0.643553258348847	0.308806496238651	8.2586053993866e-09
S100A4	3.8208714730114e-10	0.733275898617218	0.938674254914747	0.52787754231969	8.8363698496099e-09
SEC61G	4.21052633149404e-10	0.479043510245717	0.621995628031824	0.33609139245961	9.61578950954952e-09
GPR171	6.02185365464035e-10	0.263588966636172	0.331595060639541	0.195582872632804	1.35826254654666e-08
PRDM1	8.82458435881542e-10	0.290718605638047	0.363638061588811	0.217799149687282	1.96616044189705e-08
MT-ND1	1.00586936363619e-09	0.486985241618242	0.652156818351561	0.321813664884924	2.21412449079919e-08
KLF6	1.63350747408311e-09	0.633967688656058	0.835808186456195	0.432127190855922	3.55287875613077e-08
TXN	2.09510023468608e-09	0.380713030539033	0.505137208143073	0.256288852934993	4.50323309267232e-08
SH3BGRL3	2.14847999117261e-09	0.451958476216206	0.610612915194607	0.293304037237806	4.56427086496787e-08
CTSL	2.46743856520271e-09	0.321124561359325	0.396735630222091	0.245513492496558	5.18162098692569e-08
NCL	2.52431391652958e-09	-0.490014700845405	-0.342726949479144	-0.637302452211666	5.24081991534038e-08
AREG	2.85311032630699e-09	0.5309245843778	0.665266871671743	0.396582297083857	5.85689052377851e-08
SLC16A3	3.08818919483034e-09	0.331787991714549	0.423786891505416	0.239789091923683	6.26902406550559e-08
UPP1	5.61654742406212e-09	0.382653454574495	0.48291536515363	0.282391543995361	1.12762990590786e-07
SEC61B	6.03600578018606e-09	0.466123797393377	0.623188317965815	0.309059276820938	1.19867201743478e-07
RPL23A	6.98422627190366e-09	-0.424572761543147	-0.290729918966046	-0.558415604120247	1.37206251599656e-07
GZMH	9.55575903179524e-09	0.439428144661767	0.601507932094829	0.277348357228704	1.85727359054148e-07
COX6C	1.04151727693674e-08	0.322858512302156	0.48071465737517	0.165002367229141	2.00300217364571e-07
ANXA2	1.05776377018035e-08	0.399820543275825	0.514480388043456	0.285160698508193	2.01305667512447e-07
RNF213	1.16703794541596e-08	0.502499822441353	0.688350577349604	0.316649067533102	2.19812198585047e-07
CSTB	1.1961947553715e-08	0.436834908232439	0.566328289851091	0.307341526613787	2.20752304854922e-07
RPS23	1.18556884447531e-08	-0.398298921879293	-0.272447511790329	-0.524150331968258	2.20752304854922e-07
HAVCR2	1.21346318994797e-08	0.384573104900459	0.492006208794393	0.277140001006525	2.21699724803495e-07
MTHFD2	1.39563120247337e-08	0.274459748811107	0.34980297777097	0.199116519851244	2.52457248209786e-07
KLRC3	1.68781677828416e-08	0.215653375289133	0.346243432133884	0.0850633184443819	2.99382646012151e-07
TNFAIP3	1.67978574577207e-08	0.429102942410811	0.556122513949962	0.30208337087166	2.99382646012151e-07
SAT1	1.7549746002599e-08	0.715770814925594	0.945501152452813	0.486040477398375	3.08301787949503e-07
RPS3A	1.83157889892516e-08	-0.398739799249341	-0.271520449351481	-0.525959149147202	3.18694728412978e-07
RPS4X	2.03640853649869e-08	-0.401684910472849	-0.269787785411935	-0.533582035533763	3.50992301526709e-07
KLRF1	2.16458550047399e-08	-0.428393133627814	-0.273231172115697	-0.583555095139931	3.69597916763176e-07
MZT2A	2.51178752188927e-08	0.30812809393553	0.399912259592681	0.216343928278378	4.24910722452935e-07
IFI27	2.65170660484671e-08	0.613298149857549	0.782314564717191	0.444281734997907	4.44464951105959e-07
RPL10	2.93579931182145e-08	-0.351913854900783	-0.236818947409643	-0.467008762391922	4.8760957660889e-07
ARF6	3.9479783890366e-08	0.40495683260139	0.533706158662569	0.276207506540211	6.49815902411699e-07
MT2A	4.08934910232221e-08	0.767797718585356	1.03252148023176	0.503073956938951	6.67075072316311e-07
RGCC	4.1342849625918e-08	0.333115184778937	0.425815298176761	0.240415071381113	6.68437046606657e-07
S100A6	4.45796691070344e-08	0.585623033990101	0.780688720394061	0.390557347586141	7.14447854899578e-07
IFI27L2	4.73100567520694e-08	0.274578248478316	0.356681700247441	0.192474796709191	7.51612814661138e-07
